exp,algo,scale,hostname,recv_drop,recv_errs,recv_packets,send_bytes,send_drop,send_errs,send_packets,timestamp
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,4619,27909189,0,0,5106,1.513125507575309E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,4848,37095846,0,0,5125,1.513125507576083E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4290,26121637,0,0,4707,1.513125507577492E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4458,28010271,0,0,4764,1.513125507578306E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5387,34037435,0,0,5371,1.513125507578814E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4116,23689051,0,0,4791,1.513125507585997E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,8060,51061573,0,0,9129,1.513125512576923E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,7979,64769627,0,0,8359,1.513125512578732E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,6889,51000961,0,0,7584,1.513125512579556E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,7979,56654369,0,0,8812,1.513125512579772E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,7164,52043567,0,0,7548,1.513125512580153E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,8283,62102786,0,0,8491,1.513125512584303E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,6414,48462784,0,0,7150,1.513125512587812E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,4762,31974229,0,0,5337,1.513125517580876E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5792,38869132,0,0,6409,1.513125517581403E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4336,31935347,0,0,4853,1.513125517583563E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,4624,35353932,0,0,5025,1.513125517584385E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4573,32232075,0,0,4872,1.513125517584478E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5305,38742435,0,0,5610,1.513125517589158E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4170,30389804,0,0,4825,1.513125517593334E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,5526,37127793,0,0,6220,1.513125522586668E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,6854,40428471,0,0,7195,1.513125522587271E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,6514,42866028,0,0,7326,1.513125522587565E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,5545,34121672,0,0,6187,1.513125522587641E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,5103,36661695,0,0,5507,1.513125522590105E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,7186,41152530,0,0,7569,1.513125522594724E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4592,32487400,0,0,5026,1.513125522595894E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5548,46795499,0,0,5737,1.513125527589413E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,5264,36340360,0,0,5790,1.513125527591141E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,5942,34929469,0,0,6539,1.513125527593052E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4657,36423682,0,0,5112,1.513125527593238E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,5513,35060753,0,0,6026,1.513125527595764E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5944,42029016,0,0,6022,1.513125527600234E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4822,34797393,0,0,5314,1.513125527601543E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5580,30227641,0,0,5822,1.513125532591594E9
